word,joy,sadness,fear,anger,trust,disgust,surprise,anticipation
giraffe,0,0,0,0,0,0,0,0
giraffe,0,0,0,0,0,0,0,0
giraffe,0,0,0,0,0,0,0,0
giraffe,1,0,0,0,1,0,0,0
motive,0,0,0,0,1,0,0,1
motive,0,0,0,0,0,0,0,0
motive,0,0,2,2,0,0,0,0
motive,0,0,1,0,0,1,0,1
unsuccessful,1,0,1,0,0,0,1,0
unsuccessful,0,2,0,1,0,0,0,0
unsuccessful,0,1,1,0,0,1,0,0
unsuccessful,0,3,3,3,0,3,2,2
saucepan,0,0,0,0,0,0,0,1
saucepan,0,0,0,0,0,0,0,0
saucepan,0,0,0,0,0,0,0,0
saucepan,0,0,0,0,0,0,0,0
personnel,1,0,0,0,2,0,0,3
personnel,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
resemble,0,0,0,0,0,0,0,0
resemble,0,0,0,0,0,0,0,0
resemble,0,0,0,0,0,0,0,0
resemble,1,0,0,0,1,0,1,0
resemble,0,0,0,0,0,0,0,0
instantaneous,1,0,0,0,0,0,0,0
instantaneous,0,0,0,0,0,0,1,0
instantaneous,0,0,0,0,0,0,0,0
saddle,0,0,0,0,0,0,0,0
saddle,1,1,0,0,0,0,0,0
saddle,0,0,0,0,0,0,0,0
saddle,0,0,0,0,0,0,0,0
devout,3,1,0,0,3,0,0,2
devout,3,0,0,0,3,0,0,0
devout,3,0,0,0,3,0,0,3
devout,3,0,0,0,3,0,0,0
semblance,0,0,0,0,0,0,0,0
semblance,0,0,0,0,0,0,0,0
semblance,0,0,0,0,0,0,0,0
narcotic,0,0,0,0,0,0,0,0
narcotic,1,2,2,0,0,0,0,0
narcotic,1,1,0,0,0,0,0,0
narcotic,0,0,0,0,0,0,0,0
parabolic,0,0,0,0,0,0,0,0
parabolic,0,0,0,0,0,0,0,0
parabolic,0,0,0,0,0,0,0,0
inflict,0,0,2,1,0,0,0,0
inflict,0,0,0,0,0,0,0,0
inflict,0,3,2,3,0,2,0,0
reservation,0,0,0,0,0,0,0,0
reservation,0,0,0,0,0,0,0,0
reservation,0,0,0,0,0,0,0,0
reservation,0,0,0,0,0,0,0,0
reservation,0,1,2,1,1,1,1,1
coincide,0,0,0,0,0,0,0,1
coincide,0,0,0,0,0,0,0,0
coincide,0,0,0,0,0,0,1,0
coincide,0,0,0,0,0,0,0,0
coincide,0,0,0,0,0,0,0,0
assail,0,0,0,0,0,0,0,0
assail,0,1,1,1,0,0,1,2
assail,0,0,1,1,0,0,0,0
assail,0,1,3,3,0,1,2,0
assail,0,1,2,3,0,1,2,0
assail,0,0,0,3,0,0,0,0
assail,0,0,0,0,0,0,0,0
assail,0,0,0,3,0,3,3,0
