"id";"word";"count"
1;"aback";3
2;"abacus";4
3;"abandon";6
4;"abandoned";19
5;"abandonment";42
6;"abate";10
7;"abatement";6
8;"abba";3
9;"abbot";4
10;"abbreviate";12
11;"abbreviation";11
12;"abdomen";4
13;"abdominal";4
14;"abduction";16
15;"aberrant";34
16;"aberration";19
17;"abeyance";26
18;"abhor";14
19;"abhorrent";37
20;"abide";8
21;"ability";38
22;"abject";25
23;"ablation";7
24;"ablaze";18
25;"abnormal";7
26;"aboard";13
27;"abode";23
28;"abolish";4
29;"abolition";24
30;"abominable";40
31;"abomination";28
32;"aboriginal";38
33;"abort";5
34;"abortion";12
35;"abortive";27
36;"abound";4
37;"abovementioned";8
38;"abrasion";22
39;"abroad";24
40;"abrogate";20
41;"abrupt";42
42;"abruptly";3
43;"abscess";4
44;"absence";17
45;"absent";28
46;"absentee";4
47;"absenteeism";4
48;"absinthe";3
49;"absolute";8
50;"absolution";7
51;"absorbed";3
52;"absorbent";5
53;"absorbing";6
54;"absorption";11
55;"abstain";26
56;"abstention";3
57;"abstinence";31
58;"abstract";6
59;"abstraction";4
60;"absurd";35
61;"absurdity";35
62;"abundance";10
63;"abundant";26
64;"abuse";9
65;"abutment";33
66;"aby";4
67;"abysmal";4
68;"abyss";26
69;"academic";31
70;"academy";5
71;"accede";6
72;"accelerate";36
73;"acceleration";11
74;"accent";21
75;"accentuate";14
76;"accept";14
77;"acceptable";24
78;"acceptance";10
79;"access";6
80;"accessible";15
81;"accession";34
82;"accessory";13
83;"accident";14
84;"accidental";28
85;"accidentally";5
86;"accolade";3
87;"accommodate";8
88;"accommodation";28
89;"accompaniment";76
90;"accompany";27
91;"accompanying";4
92;"accomplice";5
93;"accomplish";39
94;"accomplished";16
95;"accomplishment";7
96;"accord";7
97;"accordance";32
98;"accordion";3
99;"account";18
100;"accountability";3
101;"accountable";14
102;"accountant";37
103;"accounting";10
104;"accounts";7
105;"accredited";3
106;"accretion";16
107;"accrue";7
108;"accueil";4
109;"accumulate";18
110;"accumulation";26
111;"accuracy";6
112;"accurate";9
113;"accursed";25
114;"accusation";19
115;"accusative";4
116;"accused";9
117;"accuser";9
118;"accusing";4
119;"accustomed";13
120;"ace";9
121;"acetic";4
122;"ache";14
123;"achieve";19
124;"achievement";4
125;"aching";15
126;"acid";15
127;"acidity";4
128;"acknowledge";27
129;"acknowledged";4
130;"acknowledgment";21
131;"acme";3
132;"acoustic";3
133;"acoustics";6
134;"acquaint";5
135;"acquaintance";5
136;"acquainted";14
137;"acquiescence";29
138;"acquire";28
139;"acquiring";4
140;"acquisition";15
141;"acquisitions";3
142;"acreage";3
143;"acres";29
144;"acrobat";42
145;"act";15
146;"acting";3
147;"action";28
148;"actionable";4
149;"active";39
150;"activity";14
151;"actor";16
152;"actual";44
153;"actuality";3
154;"actuary";5
155;"acuity";4
156;"acumen";3
157;"acupuncture";5
158;"acutely";3
159;"adage";10
160;"adamant";8
161;"adapt";7
162;"adaptable";8
163;"add";14
164;"added";3
165;"addendum";3
166;"adder";4
167;"addiction";3
168;"addition";42
169;"additional";35
170;"additive";32
171;"address";11
172;"addressee";3
173;"addresses";3
174;"adept";3
175;"adequacy";5
176;"adequate";42
177;"adhere";7
178;"adherence";5
179;"adherent";3
180;"adhering";4
181;"adhesion";26
182;"adhesive";5
183;"adieu";5
184;"adipose";3
185;"adjacency";4
186;"adjacent";3
187;"adjective";5
188;"adjoining";3
189;"adjourn";3
190;"adjournment";4
191;"adjudicate";14
192;"adjudication";3
193;"adjunct";39
194;"adjust";7
195;"adjustment";13
196;"adjuvant";19
197;"administer";9
198;"administration";16
199;"administrative";9
200;"admirable";3
201;"admiral";4
202;"admiralty";3
203;"admiration";49
204;"admire";18
205;"admirer";3
206;"admissibility";7
207;"admissible";8
208;"admission";10
209;"admit";9
210;"admittance";3
211;"admitted";4
212;"admitting";9
213;"admixture";3
214;"admonition";35
215;"ado";30
216;"adobe";4
217;"adolescence";3
218;"adolescent";4
219;"adopt";28
220;"adoption";3
221;"adorable";4
222;"adoration";9
223;"adore";4
224;"adorn";3
225;"adornment";7
226;"adrift";32
227;"adult";7
228;"adulterated";3
229;"adultery";10
230;"advance";7
231;"advanced";4
232;"advancement";9
233;"advancing";5
234;"advantage";16
235;"advantageous";32
236;"advent";12
237;"adventure";17
238;"adventurer";3
239;"adventurous";22
240;"adversary";3
241;"adverse";25
242;"adversity";22
243;"advertise";4
244;"advertisement";18
245;"advice";34
246;"advisable";4
247;"advise";15
248;"advised";4
249;"advisement";5
250;"adviser";19
