"14066;""bookshop""",,,,,,,
"14067;""tome""",,,,,,,
"14068;""febrile""",,,,,,,
"14069;""apportion""",,,,,,,
"14070;""kaleidoscopen""",,,,,,,
"14071;""jewel""",,,,,,,
"14072;""syncopen""",,,,,,,
"14073;""menses""",,,,,,,
"14074;""scopen""",,,,,,,
"14075;""monthly""",,,,,,,
"14076;""biogenesis""",,,,,,,
"14077;""deferral""",,,,,,,
"14078;""excited""",,,,,,,
"14079;""cannibal""",,,,,,,
"14080;""envelopen""",,,,,,,
"14081;""cohesive""",,,,,,,
"14082;""timeliness""",,,,,,,
"14083;""fortnightly""",,,,,,,
"14084;""pearl""",,,,,,,
"14085;""sepia""",,,,,,,
"14086;""codex""",,,,,,,
"14087;""uncertainty""",,,,,,,
"14088;""postponed""",,,,,,,
"14089;""yearbook""",,,,,,,
"14090;""gropen""",,,,,,,
"14091;""lipstick""",,,,,,,
"14092;""timepiece""",,,,,,,
"14093;""roulette""",,,,,,,
"14094;""procrastinate""",,,,,,,
"14095;""interrogate""",,,,,,,
"14096;""interrogate""",,,,,,,
"14097;""sporadic""",,,,,,,
"14098;""microscopen""",,,,,,,
"14099;""filing""",,,,,,,
"14100;""bimonthly""",,,,,,,
"14101;""samba""",,,,,,,
"14102;""peasant""",,,,,,,
"14103;""peasant""",,,,,,,
"14104;""backwards""",,,,,,,
"14105;""backwards""",,,,,,,
"14106;""hornet""",,,,,,,
"14107;""proletarian""",,,,,,,
"14108;""stethoscopen""",,,,,,,
"14109;""gropen""",,,,,,,
"14110;""horoscopen""",,,,,,,
"14111;""weekly""",,,,,,,
"14112;""excited""",,,,,,,
"14113;""hopen""",,,,,,,
"14114;""simmering""",,,,,,,
"14115;""assessor""",,,,,,,
"14116;""seething""",,,,,,,
"14117;""myopia""",,,,,,,
"14118;""stethoscopen""",,,,,,,
"14119;""librarian""",,,,,,,
"14120;""workmanship""",,,,,,,
"14121;""propagate""",,,,,,,
"14122;""pamphlet""",,,,,,,
"14123;""pamphlet""",,,,,,,
"14124;""distracting""",,,,,,,
"14125;""symmetric""",,,,,,,
"14126;""sundial""",,,,,,,
"14127;""postpone""",,,,,,,
"14128;""telescopen""",,,,,,,
"14129;""telescopen""",,,,,,,
"14130;""repressed""",,,,,,,
"14131;""bibliography""",,,,,,,
"14132;""overzealous""",,,,,,,
"14133;""engender""",,,,,,,
"14134;""gyroscopen""",,,,,,,
"14135;""scopen""",,,,,,,
"14136;""hopen""",,,,,,,
"14137;""tarry""",,,,,,,
"14138;""orthodox""",,,,,,,
"14139;""pip""",,,,,,,
"14140;""proletariat""",,,,,,,
"14141;""proletariat""",,,,,,,
"14142;""birthday""",,,,,,,
"14143;""syncopen""",,,,,,,
"14144;""periodic""",,,,,,,
"14145;""stimulation""",,,,,,,
"14146;""envelopen""",,,,,,,
"14147;""brochure""",,,,,,,
"14148;""barbarian""",,,,,,,
"14149;""repeater""",,,,,,,
"14150;""slopen""",,,,,,,
"14151;""slopen""",,,,,,,
"14152;""rota""",,,,,,,
"14153;""6xistent""",,,,,,,
"14154;""coinage""",,,,,,,
"14155;""astigmatism""",,,,,,,
"14156;""scattering""",,,,,,,
"14157;""statesman""",,,,,,,
"14158;""booklet""",,,,,,,
"14159;""periodically""",,,,,,,
"14160;""periodically""",,,,,,,
"14161;""wristwatch""",,,,,,,
"14162;""inertia""",,,,,,,
"14163;""flowering""",,,,,,,
"14164;""barbarian""",,,,,,,
"14165;""popen""",,,,,,,
"14166;""microscopen""",,,,,,,
"14167;""demos""",,,,,,,
"14168;""yearly""",,,,,,,
"14169;""republican""",,,,,,,
"14170;""periodical""",,,,,,,
"14171;""genital""",,,,,,,
"14172;""hopen""",,,,,,,
"14173;""postponement""",,,,,,,
"14174;""exciting""",,,,,,,
