(8098, 'motive', ['1', '2', '4'])
(5403, 'giraffe', ['6', '0', '4'])
(13355, 'unsuccessful', ['6', '0', '4'])
(10910, 'saucepan', ['5', '2', '4'])
(9135, 'personnel', ['6', '0', '5'])
(10493, 'resemble', ['6', '0', '5'])
(7804, 'merriment', ['12', '2', '3'])
(6634, 'instantaneous', ['6', '0', '3'])
(10835, 'saddle', ['3', '3', '4'])
(11098, 'semblance', ['6', '0', '3'])
(8221, 'narcotic', ['6', '0', '4'])
(8869, 'parabolic', ['6', '0', '3'])
(6515, 'inflict', ['6', '0', '3'])
(10498, 'reservation', ['6', '0', '5'])
(2269, 'coincide', ['5', '2', '5'])
(2269, 'coincide', ['8', '2', '5'])
(778, 'assail', ['10', '6', '11'])
(12383, 'tableware', ['11', '2', '5'])
(3973, 'due', ['7', '2', '4'])
(3788, 'ditty', ['12', '2', '6'])
(3788, 'ditty', ['2', '2', '6'])
(3902, 'drainage', ['6', '0', '3'])
(9135, 'personnel', ['6', '0', '3'])
(5302, 'garden', ['4', '4', '4'])
(1381, 'bomber', ['1', '2', '4'])
(13980, 'wrap', ['10', '2', '5'])
(12845, 'transcendental', ['11', '2', '4'])
(10313, 'regrettable', ['1', '3', '5'])
(12484, 'telephone', ['3', '2', '5'])
(13115, 'unbridled', ['6', '0', '4'])
(6363, 'incite', ['6', '0', '4'])
(3041, 'curse', ['1', '2', '4'])
(7589, 'mangle', ['10', '3', '4'])
(13841, 'whimsy', ['6', '0', '3'])
(1638, 'buss', ['10', '2', '5'])
(1638, 'buss', ['8', '2', '5'])
(5894, 'herewith', ['11', '2', '5'])
(257, 'aerodynamics', ['5', '3', '6'])
(566, 'anterior', ['11', '3', '13'])
(566, 'anterior', ['5', '3', '13'])
(6312, 'impunity', ['6', '0', '5'])
(6798, 'investigation', ['2', '2', '4'])
(26, 'aboard', ['2', '3', '5'])
(8290, 'neophyte', ['4', '2', '4'])
(7030, 'kneeling', ['11', '2', '4'])
(347, 'aisle', ['11', '5', '9'])
(2219, 'clutch', ['2', '2', '4'])
(6229, 'immortal', ['11', '2', '3'])
(5603, 'groom', ['6', '0', '5'])
(4953, 'flex', ['6', '0', '4'])
(1936, 'cessation', ['3', '2', '4'])
(4712, 'fanfare', ['6', '0', '2'])
(7546, 'maintenance', ['3', '2', '4'])
(7495, 'lustrous', ['6', '0', '3'])
(13299, 'unoccupied', ['5', '10', '16'])
(7925, 'miscellaneous', ['11', '2', '5'])
(2129, 'clam', ['5', '4', '5'])
(10369, 'reliable', ['2', '3', '3'])
(112, 'accurate', ['11', '3', '9'])
(1881, 'cautionary', ['7', '2', '5'])
(163, 'add', ['10', '3', '8'])
(7000, 'kidnap', ['1', '3', '5'])
(10879, 'sand', ['12', '2', '4'])
(10879, 'sand', ['3', '2', '4'])
(10838, 'safe', ['1', '2', '5'])
(10838, 'safe', ['4', '2', '5'])
(7997, 'modifiable', ['12', '2', '4'])
(9097, 'perjury', ['10', '2', '5'])
(12598, 'thesaurus', ['5', '2', '5'])
(6052, 'hour', ['12', '2', '6'])
(11355, 'silly', ['9', '2', '6'])
(11355, 'silly', ['7', '2', '6'])
(1861, 'category', ['5', '2', '3'])
(13339, 'unsatisfactory', ['1', '2', '5'])
(13339, 'unsatisfactory', ['2', '2', '5'])
(2678, 'contraband', ['1', '3', '3'])
(12130, 'subtlety', ['6', '0', '4'])
(9041, 'pendency', ['2', '2', '5'])
(12658, 'thunder', ['5', '3', '4'])
(4348, 'equal', ['5', '2', '3'])
(13145, 'uncover', ['3', '2', '4'])
(12468, 'teaser', ['6', '0', '3'])
(1579, 'builder', ['4', '2', '5'])
(1727, 'cancer', ['10', '2', '3'])
(8161, 'murmur', ['6', '0', '3'])
(12117, 'subsist', ['6', '0', '4'])
(9143, 'pertinent', ['11', '3', '4'])
